FullGeoName_x,YEAR_x,STATE,RATE_x,DEATHS_x,FullGeoName_y,YEAR_y,RATE_y,DEATHS_y,URL
Ak,2014,AK,22.1,167,Ak,2014,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
Ak,2014,AK,22.1,167,Ak,2005,19.9,131,/nchs/pressroom/states/alaska/alaska.htm
Ak,2005,AK,19.9,131,Ak,2021,30.8,220,/nchs/pressroom/states/alaska/ak.htm
Ak,2005,AK,19.9,131,Ak,2020,27.5,204,/nchs/pressroom/states/alaska/ak.htm
Ak,2005,AK,19.9,131,Ak,2019,28.5,210,/nchs/pressroom/states/alaska/ak.htm
Ak,2005,AK,19.9,131,Ak,2018,24.6,184,/nchs/pressroom/states/alaska/ak.htm
Ak,2005,AK,19.9,131,Ak,2017,27.0,200,/nchs/pressroom/states/alaska/alaska.htm
Ak,2005,AK,19.9,131,Ak,2016,25.8,193,/nchs/pressroom/states/alaska/alaska.htm
Ak,2005,AK,19.9,131,Ak,2015,26.9,201,/nchs/pressroom/states/alaska/alaska.htm
Ak,2005,AK,19.9,131,Ak,2014,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
Ak,2005,AK,19.9,131,Ak,2005,19.9,131,/nchs/pressroom/states/alaska/alaska.htm
Az,2021,AZ,19.5,1475,Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2021,AZ,19.5,1475,Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2021,AZ,19.5,1475,Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2021,AZ,19.5,1475,Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2021,AZ,19.5,1475,Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2021,AZ,19.5,1475,Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2021,AZ,19.5,1475,Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2021,AZ,19.5,1475,Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2021,AZ,19.5,1475,Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2020,AZ,17.6,1363,Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2020,AZ,17.6,1363,Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2020,AZ,17.6,1363,Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2020,AZ,17.6,1363,Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2020,AZ,17.6,1363,Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2020,AZ,17.6,1363,Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2020,AZ,17.6,1363,Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2020,AZ,17.6,1363,Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2020,AZ,17.6,1363,Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2019,AZ,18.7,1419,Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2019,AZ,18.7,1419,Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2019,AZ,18.7,1419,Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2019,AZ,18.7,1419,Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2019,AZ,18.7,1419,Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2019,AZ,18.7,1419,Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2019,AZ,18.7,1419,Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2019,AZ,18.7,1419,Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2019,AZ,18.7,1419,Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2018,AZ,19.2,1438,Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2018,AZ,19.2,1438,Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2018,AZ,19.2,1438,Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2018,AZ,19.2,1438,Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2018,AZ,19.2,1438,Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2018,AZ,19.2,1438,Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2018,AZ,19.2,1438,Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2018,AZ,19.2,1438,Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2018,AZ,19.2,1438,Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2017,AZ,18.2,"1,327",Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2017,AZ,18.2,"1,327",Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
Az,2017,AZ,18.2,"1,327",Az,2019,18.7,1419,/nchs/pressroom/states/arizona/az.htm
Az,2017,AZ,18.2,"1,327",Az,2018,19.2,1438,/nchs/pressroom/states/arizona/az.htm
Az,2017,AZ,18.2,"1,327",Az,2017,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
Az,2017,AZ,18.2,"1,327",Az,2016,17.7,"1,271",/nchs/pressroom/states/arizona/arizona.htm
Az,2017,AZ,18.2,"1,327",Az,2015,18.2,"1,276",/nchs/pressroom/states/arizona/arizona.htm
Az,2017,AZ,18.2,"1,327",Az,2014,18.0,"1,244",/nchs/pressroom/states/arizona/arizona.htm
Az,2017,AZ,18.2,"1,327",Az,2005,16.4,945,/nchs/pressroom/states/arizona/arizona.htm
Az,2016,AZ,17.7,"1,271",Az,2021,19.5,1475,/nchs/pressroom/states/arizona/az.htm
Az,2016,AZ,17.7,"1,271",Az,2020,17.6,1363,/nchs/pressroom/states/arizona/az.htm
